"Año","U_Source","U_Destiny"
"1960","U. Nal. De Col.","Central washington u.",
"1960","U. Industrial de std","U. Of tulsa",
"1960","U. Nal. De Col.","Cornell u.",
"1960","U. Del atlantico","Bowdoin college",
"1961","U. De los andes","Michigan state u.",
"1961","U. Nal. De Col.","Michigan state u.",
"1961","U. De los andes","Michigan state u.",
"1961","U. Nal. De Col.","Baylor u.",
"1961","U. Javeriana","Georgetown u.",
"1961","U. Pedagogica nal.","Saint louis u.-main campus",
"1961","U. Del atlantico","Otterbein u.",
"1961","U. Del atlantico","Pennsylvania state u.",
"1961","Instituto caro y cuervo","U. Of rochester",
"1961","Instituto caro y cuervo","U. Of rochester",
"1962","U. Javeriana","Harvard u.",
"1962","U. Nal. De Col.","U. Of colorado",
"1962","U. Industrial de std","Ohio state u.",
"1962","U. Javeriana","Stanford u.",
"1962","U. Pedagogica nal.","U. Of california - los angeles",
"1962","U. Del atlantico","U. Of california, berkeley",
"1962","U. Javeriana","Michigan state u.",
"1963","U. De cartagena","Southern methodist u.",
"1963","U. Nal. De Col.","Western michigan u.",
"1963","U. Nal. De Col.","Johns hopkins u.",
"1963","U. De los andes","U. Of illinois at urbana-champaign",
"1963","U. Del cauca","Stanford u.",
"1963","U. De los andes","Massachusetts institute of technology",
"1963","U. Industrial de std","Massachusetts institute of technology",
"1963","U. Pedagogica nal.","Saint louis u.-main campus",
"1963","Colegio mayor de nuestra señora del rosario","Harvard u.",
"1963","U. Nal. De Col.","U. Of wisconsin - madison",
"1963","U. De los andes","U. Of oregon",
"1964","U. Del valle","Iowa state u.",
"1964","U. Javeriana","Northwestern u.",
"1964","U. Nal. De Col.","U. Of california - los angeles",
"1964","U. Nal. De Col.","U. Of california - los angeles",
"1964","U. De nariño","U. Of georgia",
"1964","U. De caldas","U. Of rochester",
"1964","U. Nal. De Col.","Johns hopkins u.",
"1964","U. De cartagena","Columbia u. In the city of new york",
"1964","U. Javeriana","Southern methodist u.",
"1964","U. Javeriana","U. Of wisconsin - madison",
"1964","U. Pedagogica nal.","U. Of michigan - ann arbor",
"1964","U. Nal. De Col.","Cornell u.",
"1964","U. Javeriana","Massachusetts institute of technology",
"1964","U. Javeriana","Indiana u. Bloomington",
"1964","U. Javeriana","U. Of oklahoma",
"1964","U. De antioquia","Georgetown u.",
"1965","U. De los andes","U. Of kansas",
"1965","U. Pedagogica nal.","Syracuse u.",
"1965","U. Javeriana","Princeton u.",
"1965","U. Nal. De Col.","New york u.",
"1965","Colegio mayor de nuestra señora del rosario","Southern methodist u.",
"1965","U. Nal. De Col.","Yale u.",
"1965","U. Javeriana","U. Of illinois at urbana-champaign",
"1965","U. Nal. De Col.","U. Of illinois at urbana-champaign",
"1965","U. De cartagena","Purdue u.",
"1965","U. Del cauca","U. Of california - los angeles",
"1965","U. De los andes","U. Of new mexico",
"1965","U. Nal. De Col.","Georgia institute of technology - main campus",
"1965","U. De los andes","Stanford u.",
"1965","U. Pedagogica y tecnologica de Col. - uptc","U. Of miami",
"1965","U. De los andes","Stanford u.",
"1965","U. De antioquia","Oklahoma state u.",
"1965","U. Nal. De Col.","U. Of miami",
"1965","U. Pedagogica nal.","U. Of florida",
"1965","U. Nal. De Col.","Indiana u. Bloomington",
